발생장소_시도,발생원인_기타
부산,조사중
부산,입산자실화
경북,입산자실화
경남,쓰레기소각
강원,전주계량기
경북,입산자실화
경북,입산자실화
경북,주택화재비화
경기,조사중
경북,화목보일러재처리부주의
경기,히우스화재비화
인천,미상
부산,조사중
경남,입산자실화
경기,미상
강원,입산자실화
경북,밭두렁소각
경기,입산자실화
경북,담뱃불실화추정
경기,조사중(담뱃불추정)
강원,주택화재
경북,입산자실화
경남,입산자실화
경북,입산자실화
경기,담뱃불실화
전남,입산자실화
경기,미상
경남,입산자실화
강원,산림사업장실화
경남,방화추정
경남,입산자실화
전북,입산자실화
경남,입산자실화
울산,용접작업
경북,입산자실화
충북,재처리부주의
경남,입산자실화
경북,재처리부주의
경기,미상
경남,쓰레기소각
경남,건축물실화
충남,입산자실화
경기,수목정비인부실화
대구,입산자(등산객)실화
경기,미상
경남,농산부산물소각
충북,발전기모터과열추정
경북,컨테이너전기누전추정
강원,미상
경북,담뱃불실화추정
대구,화목난로비화
강원,화목보일러재투기
전남,담뱃불실화
경북,축사전기누전
충남,입산자실화
경북,주택화재전이
충북,미상
경남,미상
전남,쓰레기소각
전남,입산자실화
대구,비닐하우스화재전이
강원,주택화재전이
전북,쓰레기소각
전남,미상
경북,입산자실화
경북,입산자실화
울산,입산자실화
전남,쓰레기소각
충남,원인미상
강원,재무단투기
부산,입산자실화
경남,미상
경남,주택내취사행위
경북,재투기추정
경남,담뱃불실화
경기,미상
경남,주택아궁이불씨비화
경기,군사훈련전이
경남,입산자실화
부산,입산자실화
강원,화목보일러 재 투기
전남,입산자실화
전북,주택부지내야외조리중부주의
전북,입산자실화
경남,담뱃불실화
울산,입산자실화
울산,입산자실화
울산,입산자실화
경남,미상
충남,입산자실화
경기,입산자실화
경기,방화
경북,쓰레기소각
전남,입산자실화
경북,담뱃불실화
경남,그라인더 작업
경기,화목보일러 재 투기
경기,미상
강원,생활쓰레기소각
경북,입산자실화
인천,입산자실화
전남,미상
대전,등산객실화추정
인천,쓰레기소각
충남,입산자실화
충남,입산자실화
인천,입산자실화
강원,낙뢰
충남,낚시객실화
대전,미상
경북,미상
강원,미상
경기,건축물실화
전남,입산자실화
충북,입산자실화
울산,입산자실화
경북,미상
강원,낙뢰
강원,미상
강원,쓰레기소각
전남,입산자실화
경북,공장화재
강원,전기누전
전남,쓰레기소각
강원,산림사업장실화
경기,입산자실화
전북,낙뢰추정
충북,입산자실화
강원,어린이블장난(라이터)
강원,미상
강원,어린이블장난(라이터)
전남,입산자실화
경북,입산자실화
대전,입산자실화
강원,입산자실화
강원,입산자실화(담뱃불)
강원,미상
강원,입산자실화
